h,k,l,del_CN,del_tension,del_radius,PEN_host,PEN_impurity,IE_host,IE_impurity,EA_host,EA_impurity,Esegr
3,2,2,2,-0.75,0.03,2.2,2.2,8.967,8.3369,1.56436,0.56214,-0.41
6,4,3,2,-0.75,0.03,2.2,2.2,8.967,8.3369,1.56436,0.56214,-0.39
6,4,3,1,-0.75,0.03,2.2,2.2,8.967,8.3369,1.56436,0.56214,-0.2
3,2,2,0,-0.75,0.03,2.2,2.2,8.967,8.3369,1.56436,0.56214,-0.07
6,4,3,0,-0.75,0.03,2.2,2.2,8.967,8.3369,1.56436,0.56214,-0.09
6,4,3,6,-0.45,0.06,2.2,2.28,8.967,8.9587,1.56436,2.1251,-0.96
3,2,2,5,-0.45,0.06,2.2,2.28,8.967,8.9587,1.56436,2.1251,-0.88
1,1,0,5,-0.45,0.06,2.2,2.28,8.967,8.9587,1.56436,2.1251,-0.85
6,4,3,5,-0.45,0.06,2.2,2.28,8.967,8.9587,1.56436,2.1251,-0.8
1,0,0,4,-0.45,0.06,2.2,2.28,8.967,8.9587,1.56436,2.1251,-0.78
6,4,3,4,-0.45,0.06,2.2,2.28,8.967,8.9587,1.56436,2.1251,-0.66
1,1,1,3,-0.45,0.06,2.2,2.28,8.967,8.9587,1.56436,2.1251,-0.63
3,2,2,3,-0.45,0.06,2.2,2.28,8.967,8.9587,1.56436,2.1251,-0.56
3,2,2,3,-0.45,0.06,2.2,2.28,8.967,8.9587,1.56436,2.1251,-0.63
6,4,3,3,-0.45,0.06,2.2,2.28,8.967,8.9587,1.56436,2.1251,-0.52
3,2,2,2,-0.45,0.06,2.2,2.28,8.967,8.9587,1.56436,2.1251,-0.47
6,4,3,2,-0.45,0.06,2.2,2.28,8.967,8.9587,1.56436,2.1251,-0.46
6,4,3,1,-0.45,0.06,2.2,2.28,8.967,8.9587,1.56436,2.1251,-0.24
3,2,2,0,-0.45,0.06,2.2,2.28,8.967,8.9587,1.56436,2.1251,-0.04
6,4,3,0,-0.45,0.06,2.2,2.28,8.967,8.9587,1.56436,2.1251,-0.04
0,0,1,3,0.3,-0.23,1.54,1.63,6.8281,6.7462,0.07554,0.52766,0.1
0,0,1,3,-0.06,-0.37,1.54,1.66,6.8281,6.7665,0.07554,0.67584,-0.24
0,0,1,3,-0.59,-0.35,1.54,1.55,6.8281,7.43402,0.07554,-0.5,-0.34
0,0,1,3,0.23,-0.39,1.54,1.83,6.8281,7.9024,0.07554,0.153236,-0.41
0,0,1,3,0.23,-0.43,1.54,1.88,6.8281,7.881,0.07554,0.66226,-0.56
0,0,1,3,0.13,-0.45,1.54,1.91,6.8281,7.6398,0.07554,1.15716,-0.75
0,0,1,3,-0.35,-0.38,1.54,1.9,6.8281,7.72638,0.07554,1.23578,-0.94
0,0,1,3,-0.17,0.3,1.54,1.33,6.8281,6.6339,0.07554,0.43328,-0.38
0,0,1,3,0.25,0.02,1.54,1.6,6.8281,6.75885,0.07554,0.9174,0.03
0,0,1,3,0.6,-0.06,1.54,2.16,6.8281,7.09243,0.07554,0.7473,0.09
0,0,1,3,0.45,-0.21,1.54,1.9,6.8281,7.28,0.07554,0.55,-0.06
0,0,1,3,0.6,-0.26,1.54,2.2,6.8281,7.3605,0.07554,1.04638,-0.31
0,0,1,3,0.35,-0.24,1.54,2.28,6.8281,7.4589,0.07554,1.14289,-0.62
0,0,1,3,-0.15,-0.18,1.54,2.2,6.8281,8.3369,0.07554,0.56214,-0.93
0,0,1,3,-0.755,-0.04,1.54,1.93,6.8281,7.5762,0.07554,1.30447,-1.18
0,0,1,3,-0.02,0.25,1.54,1.3,6.8281,6.82507,0.07554,0.178,-0.14
0,0,1,3,0.5,0.02,1.54,1.5,6.8281,7.5496,0.07554,0.323,0.25
0,0,1,3,0.75,-0.1,1.54,2.36,6.8281,7.864,0.07554,0.81626,0.35
0,0,1,3,1.05,-0.18,1.54,1.9,6.8281,7.8335,0.07554,0.060396,0.2
0,0,1,3,0.85,-0.22,1.54,2.2,6.8281,8.4382,0.07554,1.0778,-0.04
0,0,1,3,0.6,-0.21,1.54,2.2,6.8281,8.967,0.07554,1.56436,-0.37
0,0,1,3,0.15,-0.15,1.54,2.28,6.8281,8.9587,0.07554,2.1251,-0.72
0,0,1,3,-0.51,-0.05,1.54,2.54,6.8281,9.2255,0.07554,2.30861,-1.05
1,1,0,6,-0.3,0.23,1.63,1.54,6.7462,6.8281,0.52766,0.07554,-0.49
1,1,0,6,-0.36,-0.14,1.63,1.66,6.7462,6.7665,0.52766,0.67584,0.3
1,1,0,6,-0.89,-0.12,1.63,1.55,6.7462,7.43402,0.52766,-0.5,0.41
1,1,0,6,-0.07,-0.16,1.63,1.83,6.7462,7.9024,0.52766,0.153236,0.36
1,1,0,6,-0.07,-0.2,1.63,1.88,6.7462,7.881,0.52766,0.66226,0.15
1,1,0,6,-0.17,-0.22,1.63,1.91,6.7462,7.6398,0.52766,1.15716,-0.12
1,1,0,6,-0.65,-0.15,1.63,1.9,6.7462,7.72638,0.52766,1.23578,-0.54
1,1,0,6,-0.47,0.53,1.63,1.33,6.7462,6.6339,0.52766,0.43328,-1.08
1,1,0,6,-0.05,0.25,1.63,1.6,6.7462,6.75885,0.52766,0.9174,-0.41
1,1,0,6,0.3,0.17,1.63,2.16,6.7462,7.09243,0.52766,0.7473,0.1
1,1,0,6,0.15,0.02,1.63,1.9,6.7462,7.28,0.52766,0.55,0.36
1,1,0,6,0.3,-0.03,1.63,2.2,6.7462,7.3605,0.52766,1.04638,0.39
1,1,0,6,0.05,-0.01,1.63,2.28,6.7462,7.4589,0.52766,1.14289,0.13
1,1,0,6,-0.45,0.05,1.63,2.2,6.7462,8.3369,0.52766,0.56214,-0.28
1,1,0,6,-1.055,0.19,1.63,1.93,6.7462,7.5762,0.52766,1.30447,-0.75
1,1,0,6,-0.32,0.48,1.63,1.3,6.7462,6.82507,0.52766,0.178,-1
1,1,0,6,0.2,0.25,1.63,1.5,6.7462,7.5496,0.52766,0.323,-0.23
1,1,0,6,0.45,0.13,1.63,2.36,6.7462,7.864,0.52766,0.81626,0.31
1,1,0,6,0.75,0.05,1.63,1.9,6.7462,7.8335,0.52766,0.060396,0.62
1,1,0,6,0.55,0.01,1.63,2.2,6.7462,8.4382,0.52766,1.0778,0.68
1,1,0,6,0.3,0.02,1.63,2.2,6.7462,8.967,0.52766,1.56436,0.51
1,1,0,6,-0.15,0.08,1.63,2.28,6.7462,8.9587,0.52766,2.1251,0.09
1,1,0,6,-0.81,0.18,1.63,2.54,6.7462,9.2255,0.52766,2.30861,-0.39
1,1,0,6,0.06,0.37,1.66,1.54,6.7665,6.8281,0.67584,0.07554,-0.72
1,1,0,6,0.36,0.14,1.66,1.63,6.7665,6.7462,0.67584,0.52766,-0.15
1,1,0,6,-0.53,0.02,1.66,1.55,6.7665,7.43402,0.67584,-0.5,-0.14
1,1,0,6,0.29,-0.02,1.66,1.83,6.7665,7.9024,0.67584,0.153236,-0.44
1,1,0,6,0.29,-0.06,1.66,1.88,6.7665,7.881,0.67584,0.66226,-0.67
1,1,0,6,0.19,-0.08,1.66,1.91,6.7665,7.6398,0.67584,1.15716,-0.8
1,1,0,6,-0.29,-0.01,1.66,1.9,6.7665,7.72638,0.67584,1.23578,-1.02
1,1,0,6,-0.11,0.67,1.66,1.33,6.7665,6.6339,0.67584,0.43328,-2.05
1,1,0,6,0.31,0.39,1.66,1.6,6.7665,6.75885,0.67584,0.9174,-1.15
1,1,0,6,0.66,0.31,1.66,2.16,6.7665,7.09243,0.67584,0.7473,-0.62
1,1,0,6,0.51,0.16,1.66,1.9,6.7665,7.28,0.67584,0.55,-0.45
1,1,0,6,0.66,0.11,1.66,2.2,6.7665,7.3605,0.67584,1.04638,-0.68
1,1,0,6,0.41,0.13,1.66,2.28,6.7665,7.4589,0.67584,1.14289,-1.25
1,1,0,6,-0.09,0.19,1.66,2.2,6.7665,8.3369,0.67584,0.56214,-1.7
1,1,0,6,-0.695,0.33,1.66,1.93,6.7665,7.5762,0.67584,1.30447,-1.9
1,1,0,6,0.04,0.62,1.66,1.3,6.7665,6.82507,0.67584,0.178,-1.55
1,1,0,6,0.56,0.39,1.66,1.5,6.7665,7.5496,0.67584,0.323,-0.98
1,1,0,6,0.81,0.27,1.66,2.36,6.7665,7.864,0.67584,0.81626,-0.4
1,1,0,6,1.11,0.19,1.66,1.9,6.7665,7.8335,0.67584,0.060396,-0.17
1,1,0,6,0.91,0.15,1.66,2.2,6.7665,8.4382,0.67584,1.0778,-0.29
1,1,0,6,0.66,0.16,1.66,2.2,6.7665,8.967,0.67584,1.56436,-0.81
1,1,0,6,0.21,0.22,1.66,2.28,6.7665,8.9587,0.67584,2.1251,-1.58
1,1,0,6,-0.45,0.32,1.66,2.54,6.7665,9.2255,0.67584,2.30861,-1.98
1,1,0,6,0.59,0.35,1.55,1.54,7.43402,6.8281,-0.5,0.07554,-0.83
1,1,0,6,0.89,0.12,1.55,1.63,7.43402,6.7462,-0.5,0.52766,-0.32
1,1,0,6,0.53,-0.02,1.55,1.66,7.43402,6.7665,-0.5,0.67584,-0.1
1,1,0,6,0.82,-0.04,1.55,1.83,7.43402,7.9024,-0.5,0.153236,-0.12
1,1,0,6,0.82,-0.08,1.55,1.88,7.43402,7.881,-0.5,0.66226,-0.26
1,1,0,6,0.72,-0.1,1.55,1.91,7.43402,7.6398,-0.5,1.15716,-0.47
1,1,0,6,0.24,-0.03,1.55,1.9,7.43402,7.72638,-0.5,1.23578,-0.77
1,1,0,6,0.42,0.65,1.55,1.33,7.43402,6.6339,-0.5,0.43328,-2.15
1,1,0,6,0.84,0.37,1.55,1.6,7.43402,6.75885,-0.5,0.9174,-1.28
1,1,0,6,1.19,0.29,1.55,2.16,7.43402,7.09243,-0.5,0.7473,-0.73
1,1,0,6,1.04,0.14,1.55,1.9,7.43402,7.28,-0.5,0.55,-0.48
1,1,0,6,1.19,0.09,1.55,2.2,7.43402,7.3605,-0.5,1.04638,-0.52
1,1,0,6,0.94,0.11,1.55,2.28,7.43402,7.4589,-0.5,1.14289,-0.69
1,1,0,6,0.44,0.17,1.55,2.2,7.43402,8.3369,-0.5,0.56214,-0.93
1,1,0,6,-0.165,0.31,1.55,1.93,7.43402,7.5762,-0.5,1.30447,-1.31
1,1,0,6,0.57,0.6,1.55,1.3,7.43402,6.82507,-0.5,0.178,-1.83
1,1,0,6,1.09,0.37,1.55,1.5,7.43402,7.5496,-0.5,0.323,-1.03
1,1,0,6,1.34,0.25,1.55,2.36,7.43402,7.864,-0.5,0.81626,-0.56
1,1,0,6,1.64,0.17,1.55,1.9,7.43402,7.8335,-0.5,0.060396,-0.31
1,1,0,6,1.44,0.13,1.55,2.2,7.43402,8.4382,-0.5,1.0778,-0.32
1,1,0,6,1.19,0.14,1.55,2.2,7.43402,8.967,-0.5,1.56436,-0.53
1,1,0,6,0.74,0.2,1.55,2.28,7.43402,8.9587,-0.5,2.1251,-0.83
1,1,0,6,0.08,0.3,1.55,2.54,7.43402,9.2255,-0.5,2.30861,-1.23
1,1,0,6,-0.23,0.39,1.83,1.54,7.9024,6.8281,0.153236,0.07554,-0.39
1,1,0,6,0.07,0.16,1.83,1.63,7.9024,6.7462,0.153236,0.52766,0.06
1,1,0,6,-0.29,0.02,1.83,1.66,7.9024,6.7665,0.153236,0.67584,0.1
1,1,0,6,-0.82,0.04,1.83,1.55,7.9024,7.43402,0.153236,-0.5,-0.16
1,1,0,6,0,-0.04,1.83,1.88,7.9024,7.881,0.153236,0.66226,-0.14
1,1,0,6,-0.1,-0.06,1.83,1.91,7.9024,7.6398,0.153236,1.15716,-0.65
1,1,0,6,-0.58,0.01,1.83,1.9,7.9024,7.72638,0.153236,1.23578,-0.83
1,1,0,6,-0.4,0.69,1.83,1.33,7.9024,6.6339,0.153236,0.43328,-1.6
1,1,0,6,0.02,0.41,1.83,1.6,7.9024,6.75885,0.153236,0.9174,-0.65
1,1,0,6,0.37,0.33,1.83,2.16,7.9024,7.09243,0.153236,0.7473,-0.06
1,1,0,6,0.22,0.18,1.83,1.9,7.9024,7.28,0.153236,0.55,0.1
1,1,0,6,0.37,0.13,1.83,2.2,7.9024,7.3605,0.153236,1.04638,-0.2
1,1,0,6,0.12,0.15,1.83,2.28,7.9024,7.4589,0.153236,1.14289,-0.52
1,1,0,6,-0.38,0.21,1.83,2.2,7.9024,8.3369,0.153236,0.56214,-1.05
1,1,0,6,-0.985,0.35,1.83,1.93,7.9024,7.5762,0.153236,1.30447,-1.55
1,1,0,6,-0.25,0.64,1.83,1.3,7.9024,6.82507,0.153236,0.178,-1.5
1,1,0,6,0.27,0.41,1.83,1.5,7.9024,7.5496,0.153236,0.323,-0.35
1,1,0,6,0.52,0.29,1.83,2.36,7.9024,7.864,0.153236,0.81626,0.2
1,1,0,6,0.82,0.21,1.83,1.9,7.9024,7.8335,0.153236,0.060396,0.45
1,1,0,6,0.62,0.17,1.83,2.2,7.9024,8.4382,0.153236,1.0778,0.25
1,1,0,6,0.37,0.18,1.83,2.2,7.9024,8.967,0.153236,1.56436,-0.15
1,1,0,6,-0.08,0.24,1.83,2.28,7.9024,8.9587,0.153236,2.1251,-0.66
1,1,0,6,-0.74,0.34,1.83,2.54,7.9024,9.2255,0.153236,2.30861,-1.36
0,0,1,3,-0.23,0.43,1.88,1.54,7.881,6.8281,0.66226,0.07554,-0.33
0,0,1,3,0.07,0.2,1.88,1.63,7.881,6.7462,0.66226,0.52766,0.13
0,0,1,3,-0.29,0.06,1.88,1.66,7.881,6.7665,0.66226,0.67584,0.19
0,0,1,3,-0.82,0.08,1.88,1.55,7.881,7.43402,0.66226,-0.5,0.1
0,0,1,3,0,0.04,1.88,1.83,7.881,7.9024,0.66226,0.153236,-0.01
0,0,1,3,-0.1,-0.02,1.88,1.91,7.881,7.6398,0.66226,1.15716,-0.13
0,0,1,3,-0.58,0.05,1.88,1.9,7.881,7.72638,0.66226,1.23578,-0.48
0,0,1,3,-0.4,0.73,1.88,1.33,7.881,6.6339,0.66226,0.43328,-1.4
0,0,1,3,0.02,0.45,1.88,1.6,7.881,6.75885,0.66226,0.9174,-0.45
0,0,1,3,0.37,0.37,1.88,2.16,7.881,7.09243,0.66226,0.7473,0
0,0,1,3,0.22,0.22,1.88,1.9,7.881,7.28,0.66226,0.55,0.49
0,0,1,3,0.37,0.17,1.88,2.2,7.881,7.3605,0.66226,1.04638,0.12
0,0,1,3,0.12,0.19,1.88,2.28,7.881,7.4589,0.66226,1.14289,-0.4
0,0,1,3,-0.38,0.25,1.88,2.2,7.881,8.3369,0.66226,0.56214,-0.6
0,0,1,3,-0.985,0.39,1.88,1.93,7.881,7.5762,0.66226,1.30447,-0.93
0,0,1,3,-0.25,0.68,1.88,1.3,7.881,6.82507,0.66226,0.178,-0.56
0,0,1,3,0.27,0.45,1.88,1.5,7.881,7.5496,0.66226,0.323,-0.24
0,0,1,3,0.52,0.33,1.88,2.36,7.881,7.864,0.66226,0.81626,0.34
0,0,1,3,0.82,0.25,1.88,1.9,7.881,7.8335,0.66226,0.060396,0.72
0,0,1,3,0.62,0.21,1.88,2.2,7.881,8.4382,0.66226,1.0778,0.56
0,0,1,3,0.37,0.22,1.88,2.2,7.881,8.967,0.66226,1.56436,-0.1
0,0,1,3,-0.08,0.28,1.88,2.28,7.881,8.9587,0.66226,2.1251,-0.38
0,0,1,3,-0.74,0.38,1.88,2.54,7.881,9.2255,0.66226,2.30861,-0.76
1,1,1,3,-0.13,0.45,1.91,1.54,7.6398,6.8281,1.15716,0.07554,-0.12
1,1,1,3,0.17,0.22,1.91,1.63,7.6398,6.7462,1.15716,0.52766,0.2
1,1,1,3,-0.19,0.08,1.91,1.66,7.6398,6.7665,1.15716,0.67584,0.25
1,1,1,3,-0.72,0.1,1.91,1.55,7.6398,7.43402,1.15716,-0.5,0
1,1,1,3,0.1,0.06,1.91,1.83,7.6398,7.9024,1.15716,0.153236,0.13
1,1,1,3,0.1,0.02,1.91,1.88,7.6398,7.881,1.15716,0.66226,0.13
1,1,1,3,-0.48,0.07,1.91,1.9,7.6398,7.72638,1.15716,1.23578,-0.25
1,1,1,3,-0.3,0.75,1.91,1.33,7.6398,6.6339,1.15716,0.43328,-1.16
1,1,1,3,0.12,0.47,1.91,1.6,7.6398,6.75885,1.15716,0.9174,-0.26
1,1,1,3,0.47,0.39,1.91,2.16,7.6398,7.09243,1.15716,0.7473,0.18
1,1,1,3,0.32,0.24,1.91,1.9,7.6398,7.28,1.15716,0.55,0.31
1,1,1,3,0.47,0.19,1.91,2.2,7.6398,7.3605,1.15716,1.04638,0.1
1,1,1,3,0.22,0.21,1.91,2.28,7.6398,7.4589,1.15716,1.14289,-0.1
1,1,1,3,-0.28,0.27,1.91,2.2,7.6398,8.3369,1.15716,0.56214,-0.4
1,1,1,3,-0.885,0.41,1.91,1.93,7.6398,7.5762,1.15716,1.30447,-0.8
1,1,1,3,-0.15,0.7,1.91,1.3,7.6398,6.82507,1.15716,0.178,-0.74
1,1,1,3,0.37,0.47,1.91,1.5,7.6398,7.5496,1.15716,0.323,-0.01
1,1,1,3,0.62,0.35,1.91,2.36,7.6398,7.864,1.15716,0.81626,0.45
1,1,1,3,0.92,0.27,1.91,1.9,7.6398,7.8335,1.15716,0.060396,0.53
1,1,1,3,0.72,0.23,1.91,2.2,7.6398,8.4382,1.15716,1.0778,0.37
1,1,1,3,0.47,0.24,1.91,2.2,7.6398,8.967,1.15716,1.56436,0.16
1,1,1,3,0.02,0.3,1.91,2.28,7.6398,8.9587,1.15716,2.1251,-0.17
1,1,1,3,-0.64,0.4,1.91,2.54,7.6398,9.2255,1.15716,2.30861,-0.69
1,1,1,3,0.35,0.38,1.9,1.54,7.72638,6.8281,1.23578,0.07554,0.01
1,1,1,3,0.65,0.15,1.9,1.63,7.72638,6.7462,1.23578,0.52766,0.25
1,1,1,3,0.29,0.01,1.9,1.66,7.72638,6.7665,1.23578,0.67584,0.1
1,1,1,3,-0.24,0.03,1.9,1.55,7.72638,7.43402,1.23578,-0.5,0.07
1,1,1,3,0.58,-0.01,1.9,1.83,7.72638,7.9024,1.23578,0.153236,0.28
1,1,1,3,0.58,-0.05,1.9,1.88,7.72638,7.881,1.23578,0.66226,0.33
1,1,1,3,0.48,-0.07,1.9,1.91,7.72638,7.6398,1.23578,1.15716,0.17
1,1,1,3,0.18,0.68,1.9,1.33,7.72638,6.6339,1.23578,0.43328,-0.64
1,1,1,3,0.6,0.4,1.9,1.6,7.72638,6.75885,1.23578,0.9174,0
1,1,1,3,0.95,0.32,1.9,2.16,7.72638,7.09243,1.23578,0.7473,0.28
1,1,1,3,0.8,0.17,1.9,1.9,7.72638,7.28,1.23578,0.55,0.3
1,1,1,3,0.95,0.12,1.9,2.2,7.72638,7.3605,1.23578,1.04638,0.2
1,1,1,3,0.7,0.14,1.9,2.28,7.72638,7.4589,1.23578,1.14289,0.05
1,1,1,3,0.2,0.2,1.9,2.2,7.72638,8.3369,1.23578,0.56214,-0.2
1,1,1,3,-0.405,0.34,1.9,1.93,7.72638,7.5762,1.23578,1.30447,-0.42
1,1,1,3,0.33,0.63,1.9,1.3,7.72638,6.82507,1.23578,0.178,-0.35
1,1,1,3,0.85,0.4,1.9,1.5,7.72638,7.5496,1.23578,0.323,0.22
1,1,1,3,1.1,0.28,1.9,2.36,7.72638,7.864,1.23578,0.81626,0.57
1,1,1,3,1.4,0.2,1.9,1.9,7.72638,7.8335,1.23578,0.060396,0.62
1,1,1,3,1.2,0.16,1.9,2.2,7.72638,8.4382,1.23578,1.0778,0.48
1,1,1,3,0.95,0.17,1.9,2.2,7.72638,8.967,1.23578,1.56436,0.23
1,1,1,3,0.5,0.23,1.9,2.28,7.72638,8.9587,1.23578,2.1251,-0.04
1,1,1,3,-0.16,0.33,1.9,2.54,7.72638,9.2255,1.23578,2.30861,-0.29
0,0,1,3,0.17,-0.3,1.33,1.54,6.6339,6.8281,0.43328,0.07554,0.06
0,0,1,3,0.47,-0.53,1.33,1.63,6.6339,6.7462,0.43328,0.52766,0.01
0,0,1,3,0.11,-0.67,1.33,1.66,6.6339,6.7665,0.43328,0.67584,-0.47
0,0,1,3,-0.42,-0.65,1.33,1.55,6.6339,7.43402,0.43328,-0.5,-0.36
0,0,1,3,0.4,-0.69,1.33,1.83,6.6339,7.9024,0.43328,0.153236,-0.4
0,0,1,3,0.4,-0.73,1.33,1.88,6.6339,7.881,0.43328,0.66226,-0.45
0,0,1,3,0.3,-0.75,1.33,1.91,6.6339,7.6398,0.43328,1.15716,-0.55
0,0,1,3,-0.18,-0.68,1.33,1.9,6.6339,7.72638,0.43328,1.23578,-0.72
0,0,1,3,0.42,-0.28,1.33,1.6,6.6339,6.75885,0.43328,0.9174,0.19
0,0,1,3,0.77,-0.36,1.33,2.16,6.6339,7.09243,0.43328,0.7473,0.13
0,0,1,3,0.62,-0.51,1.33,1.9,6.6339,7.28,0.43328,0.55,-0.01
0,0,1,3,0.77,-0.56,1.33,2.2,6.6339,7.3605,0.43328,1.04638,-0.19
0,0,1,3,0.52,-0.54,1.33,2.28,6.6339,7.4589,0.43328,1.14289,-0.41
0,0,1,3,0.02,-0.48,1.33,2.2,6.6339,8.3369,0.43328,0.56214,-0.68
0,0,1,3,-0.585,-0.34,1.33,1.93,6.6339,7.5762,0.43328,1.30447,-0.88
0,0,1,3,0.15,-0.05,1.33,1.3,6.6339,6.82507,0.43328,0.178,0.15
0,0,1,3,0.67,-0.28,1.33,1.5,6.6339,7.5496,0.43328,0.323,0.33
0,0,1,3,0.92,-0.4,1.33,2.36,6.6339,7.864,0.43328,0.81626,0.3
0,0,1,3,1.22,-0.48,1.33,1.9,6.6339,7.8335,0.43328,0.060396,0.15
0,0,1,3,1.02,-0.52,1.33,2.2,6.6339,8.4382,0.43328,1.0778,-0.02
0,0,1,3,0.77,-0.51,1.33,2.2,6.6339,8.967,0.43328,1.56436,-0.25
0,0,1,3,0.32,-0.45,1.33,2.28,6.6339,8.9587,0.43328,2.1251,-0.5
0,0,1,3,-0.34,-0.35,1.33,2.54,6.6339,9.2255,0.43328,2.30861,-0.8
1,1,0,6,-0.25,-0.02,1.6,1.54,6.75885,6.8281,0.9174,0.07554,-0.24
1,1,0,6,0.05,-0.25,1.6,1.63,6.75885,6.7462,0.9174,0.52766,0.12
1,1,0,6,-0.31,-0.39,1.6,1.66,6.75885,6.7665,0.9174,0.67584,0.32
1,1,0,6,-0.84,-0.37,1.6,1.55,6.75885,7.43402,0.9174,-0.5,0.23
1,1,0,6,-0.02,-0.41,1.6,1.83,6.75885,7.9024,0.9174,0.153236,0.29
1,1,0,6,-0.02,-0.45,1.6,1.88,6.75885,7.881,0.9174,0.66226,0.31
1,1,0,6,-0.12,-0.47,1.6,1.91,6.75885,7.6398,0.9174,1.15716,0.08
1,1,0,6,-0.6,-0.4,1.6,1.9,6.75885,7.72638,0.9174,1.23578,-0.2
1,1,0,6,-0.42,0.28,1.6,1.33,6.75885,6.6339,0.9174,0.43328,-0.65
1,1,0,6,0.35,-0.08,1.6,2.16,6.75885,7.09243,0.9174,0.7473,0.48
1,1,0,6,0.2,-0.23,1.6,1.9,6.75885,7.28,0.9174,0.55,0.7
1,1,0,6,0.35,-0.28,1.6,2.2,6.75885,7.3605,0.9174,1.04638,0.65
1,1,0,6,0.1,-0.26,1.6,2.28,6.75885,7.4589,0.9174,1.14289,0.42
1,1,0,6,-0.4,-0.2,1.6,2.2,6.75885,8.3369,0.9174,0.56214,0.05
1,1,0,6,-1.005,-0.06,1.6,1.93,6.75885,7.5762,0.9174,1.30447,-0.32
1,1,0,6,-0.27,0.23,1.6,1.3,6.75885,6.82507,0.9174,0.178,-0.47
1,1,0,6,0.25,0,1.6,1.5,6.75885,7.5496,0.9174,0.323,0.17
1,1,0,6,0.5,-0.12,1.6,2.36,6.75885,7.864,0.9174,0.81626,0.7
1,1,0,6,0.8,-0.2,1.6,1.9,6.75885,7.8335,0.9174,0.060396,0.98
1,1,0,6,0.6,-0.24,1.6,2.2,6.75885,8.4382,0.9174,1.0778,1
1,1,0,6,0.35,-0.23,1.6,2.2,6.75885,8.967,0.9174,1.56436,0.77
1,1,0,6,-0.1,-0.17,1.6,2.28,6.75885,8.9587,0.9174,2.1251,0.4
1,1,0,6,-0.76,-0.07,1.6,2.54,6.75885,9.2255,0.9174,2.30861,-0.03
1,1,0,6,-0.6,0.06,2.16,1.54,7.09243,6.8281,0.7473,0.07554,-0.14
1,1,0,6,-0.3,-0.17,2.16,1.63,7.09243,6.7462,0.7473,0.52766,0.08
1,1,0,6,-0.66,-0.31,2.16,1.66,7.09243,6.7665,0.7473,0.67584,-0.01
1,1,0,6,-1.19,-0.29,2.16,1.55,7.09243,7.43402,0.7473,-0.5,-0.5
1,1,0,6,-0.37,-0.33,2.16,1.83,7.09243,7.9024,0.7473,0.153236,-0.52
1,1,0,6,-0.37,-0.37,2.16,1.88,7.09243,7.881,0.7473,0.66226,-0.72
1,1,0,6,-0.47,-0.39,2.16,1.91,7.09243,7.6398,0.7473,1.15716,-0.82
1,1,0,6,-0.95,-0.32,2.16,1.9,7.09243,7.72638,0.7473,1.23578,-1.16
1,1,0,6,-0.77,0.36,2.16,1.33,7.09243,6.6339,0.7473,0.43328,-0.9
1,1,0,6,-0.35,0.08,2.16,1.6,7.09243,6.75885,0.7473,0.9174,-0.22
1,1,0,6,-0.15,-0.15,2.16,1.9,7.09243,7.28,0.7473,0.55,-0.21
1,1,0,6,0,-0.2,2.16,2.2,7.09243,7.3605,0.7473,1.04638,-0.81
1,1,0,6,-0.25,-0.18,2.16,2.28,7.09243,7.4589,0.7473,1.14289,-1.28
1,1,0,6,-0.75,-0.12,2.16,2.2,7.09243,8.3369,0.7473,0.56214,-1.47
1,1,0,6,-1.355,0.02,2.16,1.93,7.09243,7.5762,0.7473,1.30447,-1.75
1,1,0,6,-0.62,0.31,2.16,1.3,7.09243,6.82507,0.7473,0.178,-0.98
1,1,0,6,-0.1,0.08,2.16,1.5,7.09243,7.5496,0.7473,0.323,-0.02
1,1,0,6,0.15,-0.04,2.16,2.36,7.09243,7.864,0.7473,0.81626,0.22
1,1,0,6,0.45,-0.12,2.16,1.9,7.09243,7.8335,0.7473,0.060396,0.1
1,1,0,6,0.25,-0.16,2.16,2.2,7.09243,8.4382,0.7473,1.0778,-0.45
1,1,0,6,0,-0.15,2.16,2.2,7.09243,8.967,0.7473,1.56436,-1.15
1,1,0,6,-0.45,-0.09,2.16,2.28,7.09243,8.9587,0.7473,2.1251,-1.6
1,1,0,6,-1.11,0.01,2.16,2.54,7.09243,9.2255,0.7473,2.30861,-1.94
0,0,1,3,-0.45,0.21,1.9,1.54,7.28,6.8281,0.55,0.07554,-0.82
0,0,1,3,-0.15,-0.02,1.9,1.63,7.28,6.7462,0.55,0.52766,-0.4
0,0,1,3,-0.51,-0.16,1.9,1.66,7.28,6.7665,0.55,0.67584,-0.11
0,0,1,3,-1.04,-0.14,1.9,1.55,7.28,7.43402,0.55,-0.5,-0.2
0,0,1,3,-0.22,-0.18,1.9,1.83,7.28,7.9024,0.55,0.153236,-0.11
0,0,1,3,-0.22,-0.22,1.9,1.88,7.28,7.881,0.55,0.66226,-0.01
0,0,1,3,-0.32,-0.24,1.9,1.91,7.28,7.6398,0.55,1.15716,-0.24
0,0,1,3,-0.8,-0.17,1.9,1.9,7.28,7.72638,0.55,1.23578,-0.7
0,0,1,3,-0.62,0.51,1.9,1.33,7.28,6.6339,0.55,0.43328,-1.57
0,0,1,3,-0.2,0.23,1.9,1.6,7.28,6.75885,0.55,0.9174,-0.77
0,0,1,3,0.15,0.15,1.9,2.16,7.28,7.09243,0.55,0.7473,-0.27
