h,k,j,del_CN,del_tension,del_radius,del_dcenter,host,impurity,host facet,Esegr
6,4,3,0,0.05,0.01,-0.55,Rh,V,643,-0.22
6,4,3,6,0.7,0.14,0.24,Rh,Cu,643,-0.7
3,2,2,5,0.7,0.14,0.24,Rh,Cu,322,-0.54
1,1,0,5,0.7,0.14,0.24,Rh,Cu,110,-0.58
6,4,3,5,0.7,0.14,0.24,Rh,Cu,643,-0.52
1,0,0,4,0.7,0.14,0.24,Rh,Cu,100,-0.43
6,4,3,4,0.7,0.14,0.24,Rh,Cu,643,-0.35
1,1,1,3,0.7,0.14,0.24,Rh,Cu,111,-0.33
3,2,2,3,0.7,0.14,0.24,Rh,Cu,322,-0.31
3,2,2,3,0.7,0.14,0.24,Rh,Cu,322,-0.3
6,4,3,3,0.7,0.14,0.24,Rh,Cu,643,-0.28
3,2,2,2,0.7,0.14,0.24,Rh,Cu,322,-0.12
6,4,3,2,0.7,0.14,0.24,Rh,Cu,643,-0.19
6,4,3,1,0.7,0.14,0.24,Rh,Cu,643,-0.14
3,2,2,0,0.7,0.14,0.24,Rh,Cu,322,-0.04
6,4,3,0,0.7,0.14,0.24,Rh,Cu,643,-0.16
6,4,3,6,0.2,0.09,-0.49,Rh,Pt,643,-0.36
3,2,2,5,0.2,0.09,-0.49,Rh,Pt,322,-0.38
1,1,0,5,0.2,0.09,-0.49,Rh,Pt,110,-0.32
6,4,3,5,0.2,0.09,-0.49,Rh,Pt,643,-0.36
1,0,0,4,0.2,0.09,-0.49,Rh,Pt,100,-0.36
6,4,3,4,0.2,0.09,-0.49,Rh,Pt,643,-0.37
1,1,1,3,0.2,0.09,-0.49,Rh,Pt,111,-0.38
3,2,2,3,0.2,0.09,-0.49,Rh,Pt,322,-0.32
3,2,2,3,0.2,0.09,-0.49,Rh,Pt,322,-0.35
6,4,3,3,0.2,0.09,-0.49,Rh,Pt,643,-0.32
3,2,2,2,0.2,0.09,-0.49,Rh,Pt,322,-0.25
6,4,3,2,0.2,0.09,-0.49,Rh,Pt,643,-0.3
6,4,3,1,0.2,0.09,-0.49,Rh,Pt,643,-0.14
3,2,2,0,0.2,0.09,-0.49,Rh,Pt,322,0.06
6,4,3,0,0.2,0.09,-0.49,Rh,Pt,643,0.02
6,4,3,6,0.7,0.06,-0.1,Rh,Re,643,1.18
3,2,2,5,0.7,0.06,-0.1,Rh,Re,322,1.04
1,1,0,5,0.7,0.06,-0.1,Rh,Re,110,0.8
6,4,3,5,0.7,0.06,-0.1,Rh,Re,643,0.93
1,0,0,4,0.7,0.06,-0.1,Rh,Re,100,0.86
6,4,3,4,0.7,0.06,-0.1,Rh,Re,643,0.66
1,1,1,3,0.7,0.06,-0.1,Rh,Re,111,0.48
3,2,2,3,0.7,0.06,-0.1,Rh,Re,322,0.47
3,2,2,3,0.7,0.06,-0.1,Rh,Re,322,0.64
6,4,3,3,0.7,0.06,-0.1,Rh,Re,643,0.45
3,2,2,2,0.7,0.06,-0.1,Rh,Re,322,0.25
6,4,3,2,0.7,0.06,-0.1,Rh,Re,643,0.39
6,4,3,1,0.7,0.06,-0.1,Rh,Re,643,0.09
3,2,2,0,0.7,0.06,-0.1,Rh,Re,322,-0.11
6,4,3,0,0.7,0.06,-0.1,Rh,Re,643,-0.07
6,4,3,6,0.2,0.2,0.92,Pd,Cu,643,0.05
3,2,2,5,0.2,0.2,0.92,Pd,Cu,322,0.11
1,1,0,5,0.2,0.2,0.92,Pd,Cu,110,0.02
6,4,3,5,0.2,0.2,0.92,Pd,Cu,643,0.1
1,0,0,4,0.2,0.2,0.92,Pd,Cu,100,0.19
6,4,3,4,0.2,0.2,0.92,Pd,Cu,643,0.14
1,1,1,3,0.2,0.2,0.92,Pd,Cu,111,0.16
3,2,2,3,0.2,0.2,0.92,Pd,Cu,322,0.09
3,2,2,3,0.2,0.2,0.92,Pd,Cu,322,0.13
6,4,3,3,0.2,0.2,0.92,Pd,Cu,643,0.1
3,2,2,2,0.2,0.2,0.92,Pd,Cu,322,0.22
6,4,3,2,0.2,0.2,0.92,Pd,Cu,643,0.22
6,4,3,1,0.2,0.2,0.92,Pd,Cu,643,0.15
3,2,2,0,0.2,0.2,0.92,Pd,Cu,322,0.05
6,4,3,0,0.2,0.2,0.92,Pd,Cu,643,0.07
6,4,3,6,0.45,0.05,-0.52,Pd,V,643,0.92
3,2,2,5,0.45,0.05,-0.52,Pd,V,322,0.72
1,1,0,5,0.45,0.05,-0.52,Pd,V,110,0.63
6,4,3,5,0.45,0.05,-0.52,Pd,V,643,0.69
1,0,0,4,0.45,0.05,-0.52,Pd,V,100,0.63
6,4,3,4,0.45,0.05,-0.52,Pd,V,643,0.58
1,1,1,3,0.45,0.05,-0.52,Pd,V,111,0.64
3,2,2,3,0.45,0.05,-0.52,Pd,V,322,0.48
3,2,2,3,0.45,0.05,-0.52,Pd,V,322,0.53
6,4,3,3,0.45,0.05,-0.52,Pd,V,643,0.53
3,2,2,2,0.45,0.05,-0.52,Pd,V,322,0.32
6,4,3,2,0.45,0.05,-0.52,Pd,V,643,0.34
6,4,3,1,0.45,0.05,-0.52,Pd,V,643,0.17
3,2,2,0,0.45,0.05,-0.52,Pd,V,322,-0.03
6,4,3,0,0.45,0.05,-0.52,Pd,V,643,0.09
6,4,3,6,0.5,0.06,0.58,Pd,Rh,643,0.47
3,2,2,5,0.5,0.06,0.58,Pd,Rh,322,0.38
1,1,0,5,0.5,0.06,0.58,Pd,Rh,110,0.39
6,4,3,5,0.5,0.06,0.58,Pd,Rh,643,0.36
1,0,0,4,0.5,0.06,0.58,Pd,Rh,100,0.33
6,4,3,4,0.5,0.06,0.58,Pd,Rh,643,0.3
1,1,1,3,0.5,0.06,0.58,Pd,Rh,111,0.28
3,2,2,3,0.5,0.06,0.58,Pd,Rh,322,0.24
3,2,2,3,0.5,0.06,0.58,Pd,Rh,322,0.21
6,4,3,3,0.5,0.06,0.58,Pd,Rh,643,0.24
3,2,2,2,0.5,0.06,0.58,Pd,Rh,322,0.14
6,4,3,2,0.5,0.06,0.58,Pd,Rh,643,0.13
6,4,3,1,0.5,0.06,0.58,Pd,Rh,643,0.03
3,2,2,0,0.5,0.06,0.58,Pd,Rh,322,-0.03
6,4,3,0,0.5,0.06,0.58,Pd,Rh,643,-0.01
6,4,3,6,0.605,0.14,0.57,Pd,Ag,643,-0.48
3,2,2,5,0.605,0.14,0.57,Pd,Ag,322,-0.41
1,1,0,5,0.605,0.14,0.57,Pd,Ag,110,-0.48
6,4,3,5,0.605,0.14,0.57,Pd,Ag,643,-0.38
1,0,0,4,0.605,0.14,0.57,Pd,Ag,100,-0.34
6,4,3,4,0.605,0.14,0.57,Pd,Ag,643,-0.34
1,1,1,3,0.605,0.14,0.57,Pd,Ag,111,-0.28
3,2,2,3,0.605,0.14,0.57,Pd,Ag,322,-0.3
3,2,2,3,0.605,0.14,0.57,Pd,Ag,322,-0.26
6,4,3,3,0.605,0.14,0.57,Pd,Ag,643,-0.29
3,2,2,2,0.605,0.14,0.57,Pd,Ag,322,-0.17
6,4,3,2,0.605,0.14,0.57,Pd,Ag,643,-0.14
6,4,3,1,0.605,0.14,0.57,Pd,Ag,643,-0.04
3,2,2,0,0.605,0.14,0.57,Pd,Ag,322,-0.02
6,4,3,0,0.605,0.14,0.57,Pd,Ag,643,-0.03
6,4,3,6,0.3,0.03,0.33,Pd,Pt,643,-0.32
3,2,2,5,0.3,0.03,0.33,Pd,Pt,322,0.22
1,1,0,5,0.3,0.03,0.33,Pd,Pt,110,0.27
6,4,3,5,0.3,0.03,0.33,Pd,Pt,643,0.21
1,0,0,4,0.3,0.03,0.33,Pd,Pt,100,0.19
6,4,3,4,0.3,0.03,0.33,Pd,Pt,643,0.13
1,1,1,3,0.3,0.03,0.33,Pd,Pt,111,0.1
3,2,2,3,0.3,0.03,0.33,Pd,Pt,322,0.1
3,2,2,3,0.3,0.03,0.33,Pd,Pt,322,0.07
6,4,3,3,0.3,0.03,0.33,Pd,Pt,643,0.09
3,2,2,2,0.3,0.03,0.33,Pd,Pt,322,0.05
6,4,3,2,0.3,0.03,0.33,Pd,Pt,643,0.01
6,4,3,1,0.3,0.03,0.33,Pd,Pt,643,0
3,2,2,0,0.3,0.03,0.33,Pd,Pt,322,0.04
6,4,3,0,0.3,0.03,0.33,Pd,Pt,643,0.05
6,4,3,6,0.6,0.21,-1.09,Ir,Ti,643,0.04
3,2,2,5,0.6,0.21,-1.09,Ir,Ti,322,0.16
1,1,0,5,0.6,0.21,-1.09,Ir,Ti,110,-0.35
6,4,3,5,0.6,0.21,-1.09,Ir,Ti,643,0.19
1,0,0,4,0.6,0.21,-1.09,Ir,Ti,100,0.17
6,4,3,4,0.6,0.21,-1.09,Ir,Ti,643,0.14
1,1,1,3,0.6,0.21,-1.09,Ir,Ti,111,0.12
3,2,2,3,0.6,0.21,-1.09,Ir,Ti,322,0
3,2,2,3,0.6,0.21,-1.09,Ir,Ti,322,0.21
6,4,3,3,0.6,0.21,-1.09,Ir,Ti,643,0.08
3,2,2,2,0.6,0.21,-1.09,Ir,Ti,322,-0.04
6,4,3,2,0.6,0.21,-1.09,Ir,Ti,643,0.13
6,4,3,1,0.6,0.21,-1.09,Ir,Ti,643,-0.19
3,2,2,0,0.6,0.21,-1.09,Ir,Ti,322,-0.49
6,4,3,0,0.6,0.21,-1.09,Ir,Ti,643,-0.59
6,4,3,6,0.95,0.17,0,Ir,Cu,643,-1.16
3,2,2,5,0.95,0.17,0,Ir,Cu,322,-0.88
1,1,0,5,0.95,0.17,0,Ir,Cu,110,-0.99
6,4,3,5,0.95,0.17,0,Ir,Cu,643,-0.79
1,0,0,4,0.95,0.17,0,Ir,Cu,100,-0.65
6,4,3,4,0.95,0.17,0,Ir,Cu,643,-0.43
1,1,1,3,0.95,0.17,0,Ir,Cu,111,-0.43
3,2,2,3,0.95,0.17,0,Ir,Cu,322,-0.45
3,2,2,3,0.95,0.17,0,Ir,Cu,322,-0.48
6,4,3,3,0.95,0.17,0,Ir,Cu,643,-0.35
3,2,2,2,0.95,0.17,0,Ir,Cu,322,-0.23
6,4,3,2,0.95,0.17,0,Ir,Cu,643,-0.22
6,4,3,1,0.95,0.17,0,Ir,Cu,643,-0.22
3,2,2,0,0.95,0.17,0,Ir,Cu,322,-0.34
6,4,3,0,0.95,0.17,0,Ir,Cu,643,-0.19
6,4,3,6,0.25,0.03,-0.21,Ir,Rh,643,-0.36
3,2,2,5,0.25,0.03,-0.21,Ir,Rh,322,-0.27
1,1,0,5,0.25,0.03,-0.21,Ir,Rh,110,-0.31
6,4,3,5,0.25,0.03,-0.21,Ir,Rh,643,-0.24
1,0,0,4,0.25,0.03,-0.21,Ir,Rh,100,-0.23
6,4,3,4,0.25,0.03,-0.21,Ir,Rh,643,-0.09
1,1,1,3,0.25,0.03,-0.21,Ir,Rh,111,-0.06
3,2,2,3,0.25,0.03,-0.21,Ir,Rh,322,-0.03
3,2,2,3,0.25,0.03,-0.21,Ir,Rh,322,-0.05
6,4,3,3,0.25,0.03,-0.21,Ir,Rh,643,-0.03
3,2,2,2,0.25,0.03,-0.21,Ir,Rh,322,0
6,4,3,2,0.25,0.03,-0.21,Ir,Rh,643,0.01
6,4,3,1,0.25,0.03,-0.21,Ir,Rh,643,0.01
3,2,2,0,0.25,0.03,-0.21,Ir,Rh,322,-0.03
6,4,3,0,0.25,0.03,-0.21,Ir,Rh,643,-0.04
6,4,3,6,0.75,0.03,-1.06,Ir,Pd,643,-1.22
3,2,2,5,0.75,0.03,-1.06,Ir,Pd,322,-1.04
1,1,0,5,0.75,0.03,-1.06,Ir,Pd,110,-1.06
6,4,3,5,0.75,0.03,-1.06,Ir,Pd,643,-0.95
1,0,0,4,0.75,0.03,-1.06,Ir,Pd,100,-0.9
6,4,3,4,0.75,0.03,-1.06,Ir,Pd,643,-0.65
1,1,1,3,0.75,0.03,-1.06,Ir,Pd,111,-0.62
3,2,2,3,0.75,0.03,-1.06,Ir,Pd,322,-0.52
3,2,2,3,0.75,0.03,-1.06,Ir,Pd,322,-0.6
6,4,3,3,0.75,0.03,-1.06,Ir,Pd,643,-0.48
3,2,2,2,0.75,0.03,-1.06,Ir,Pd,322,-0.41
6,4,3,2,0.75,0.03,-1.06,Ir,Pd,643,-0.39
6,4,3,1,0.75,0.03,-1.06,Ir,Pd,643,-0.2
3,2,2,0,0.75,0.03,-1.06,Ir,Pd,322,-0.07
6,4,3,0,0.75,0.03,-1.06,Ir,Pd,643,-0.09
6,4,3,6,0.45,0.06,-0.79,Ir,Pt,643,-0.96
3,2,2,5,0.45,0.06,-0.79,Ir,Pt,322,-0.88
1,1,0,5,0.45,0.06,-0.79,Ir,Pt,110,-0.85
6,4,3,5,0.45,0.06,-0.79,Ir,Pt,643,-0.8
1,0,0,4,0.45,0.06,-0.79,Ir,Pt,100,-0.78
6,4,3,4,0.45,0.06,-0.79,Ir,Pt,643,-0.66
1,1,1,3,0.45,0.06,-0.79,Ir,Pt,111,-0.63
3,2,2,3,0.45,0.06,-0.79,Ir,Pt,322,-0.56
3,2,2,3,0.45,0.06,-0.79,Ir,Pt,322,-0.63
6,4,3,3,0.45,0.06,-0.79,Ir,Pt,643,-0.52
3,2,2,2,0.45,0.06,-0.79,Ir,Pt,322,-0.47
6,4,3,2,0.45,0.06,-0.79,Ir,Pt,643,-0.46
6,4,3,1,0.45,0.06,-0.79,Ir,Pt,643,-0.24
3,2,2,0,0.45,0.06,-0.79,Ir,Pt,322,-0.04
6,4,3,0,0.45,0.06,-0.79,Ir,Pt,643,-0.04
