,BO,,,GA,,,BO_wo_rlx,,,BO_wo_clst,,,BO_wo_clst+wo_rlx,,,BO_wo_clst+wo_cmp,,,BO_wo_cl+wo_rlx+wo_cmp,,,BO_wo_comparison,,
no,avg,min,max,avg,min,max,avg,min,max,avg,min,max,avg,min,max,avg,min,max,avg,min,max,avg,min,max
110,,,,,,,17.3778,17.3778,17.3778,11.40048,11.3681,11.4335,18.58704,17.8928,18.7606,11.48642,11.3997,11.6671,18.74046,18.6599,18.7606,,,
111,,,,,,,17.3778,17.3778,17.3778,11.40048,11.3681,11.4335,18.58704,17.8928,18.7606,11.44246,11.3997,11.5082,18.74046,18.6599,18.7606,,,
112,,,,,,,17.3778,17.3778,17.3778,11.40048,11.3681,11.4335,18.58704,17.8928,18.7606,11.44246,11.3997,11.5082,18.74046,18.6599,18.7606,,,
113,,,,,,,17.3778,17.3778,17.3778,11.40048,11.3681,11.4335,18.58704,17.8928,18.7606,11.44246,11.3997,11.5082,18.74046,18.6599,18.7606,,,
,,,,,,,,,,11.40048,11.3681,11.4335,18.58704,17.8928,18.7606,11.44246,11.3997,11.5082,18.74046,18.6599,18.7606,,,
,,,,,,,,,,11.40048,11.3681,11.4335,18.58704,17.8928,18.7606,11.44246,11.3997,11.5082,18.74046,18.6599,18.7606,,,
,,,,,,,,,,11.40048,11.3681,11.4335,18.58704,17.8928,18.7606,11.44246,11.3997,11.5082,18.74046,18.6599,18.7606,,,
,,,,,,,,,,11.40048,11.3681,11.4335,18.58704,17.8928,18.7606,11.44246,11.3997,11.5082,18.74046,18.6599,18.7606,,,
,,,,,,,,,,11.40048,11.3681,11.4335,18.58704,17.8928,18.7606,11.43056,11.3997,11.4487,18.74046,18.6599,18.7606,,,
,,,,,,,,,,11.40048,11.3681,11.4335,18.58704,17.8928,18.7606,11.43056,11.3997,11.4487,18.74046,18.6599,18.7606,,,
,,,,,,,,,,11.40048,11.3681,11.4335,18.58704,17.8928,18.7606,11.43056,11.3997,11.4487,18.74046,18.6599,18.7606,,,
