h,k,l,del_CN,tension_host,tension_impurity,del_tension,radius_host,radius_impurity,del_radius,PEN_host,PEN_impurity,del_PEN,IE_host,IE_impurity,del_IE,EA_host,EA_impurity,del_EA,Esegr
3,2,2,5,2,1.95,-0.05,2.81,2.82,0.01,2.28,1.63,-0.65,7.4589,6.7462,-0.7127,1.14289,0.52766,-0.61523,0.63
1,1,0,5,2,1.95,-0.05,2.81,2.82,0.01,2.28,1.63,-0.65,7.4589,6.7462,-0.7127,1.14289,0.52766,-0.61523,0.27
3,2,2,3,2,1.95,-0.05,2.81,2.82,0.01,2.28,1.63,-0.65,7.4589,6.7462,-0.7127,1.14289,0.52766,-0.61523,0.27
3,2,2,3,2,1.95,-0.05,2.81,2.82,0.01,2.28,1.63,-0.65,7.4589,6.7462,-0.7127,1.14289,0.52766,-0.61523,0.5
3,2,2,2,2,1.95,-0.05,2.81,2.82,0.01,2.28,1.63,-0.65,7.4589,6.7462,-0.7127,1.14289,0.52766,-0.61523,0.23
3,2,2,0,2,1.95,-0.05,2.81,2.82,0.01,2.28,1.63,-0.65,7.4589,6.7462,-0.7127,1.14289,0.52766,-0.61523,-0.2
3,2,2,5,2,1.3,-0.7,2.81,2.67,-0.14,2.28,1.9,-0.38,7.4589,7.72638,0.26748,1.14289,1.23578,0.09289,-0.54
1,1,0,5,2,1.3,-0.7,2.81,2.67,-0.14,2.28,1.9,-0.38,7.4589,7.72638,0.26748,1.14289,1.23578,0.09289,-0.58
3,2,2,3,2,1.3,-0.7,2.81,2.67,-0.14,2.28,1.9,-0.38,7.4589,7.72638,0.26748,1.14289,1.23578,0.09289,-0.31
3,2,2,3,2,1.3,-0.7,2.81,2.67,-0.14,2.28,1.9,-0.38,7.4589,7.72638,0.26748,1.14289,1.23578,0.09289,-0.3
3,2,2,2,2,1.3,-0.7,2.81,2.67,-0.14,2.28,1.9,-0.38,7.4589,7.72638,0.26748,1.14289,1.23578,0.09289,-0.12
3,2,2,0,2,1.3,-0.7,2.81,2.67,-0.14,2.28,1.9,-0.38,7.4589,7.72638,0.26748,1.14289,1.23578,0.09289,-0.04
3,2,2,5,2,1.8,-0.2,2.81,2.9,0.09,2.28,2.28,0,7.4589,8.9587,1.4998,1.14289,2.1251,0.98221,-0.38
1,1,0,5,2,1.8,-0.2,2.81,2.9,0.09,2.28,2.28,0,7.4589,8.9587,1.4998,1.14289,2.1251,0.98221,-0.32
3,2,2,3,2,1.8,-0.2,2.81,2.9,0.09,2.28,2.28,0,7.4589,8.9587,1.4998,1.14289,2.1251,0.98221,-0.32
3,2,2,3,2,1.8,-0.2,2.81,2.9,0.09,2.28,2.28,0,7.4589,8.9587,1.4998,1.14289,2.1251,0.98221,-0.35
3,2,2,2,2,1.8,-0.2,2.81,2.9,0.09,2.28,2.28,0,7.4589,8.9587,1.4998,1.14289,2.1251,0.98221,-0.25
3,2,2,0,2,1.8,-0.2,2.81,2.9,0.09,2.28,2.28,0,7.4589,8.9587,1.4998,1.14289,2.1251,0.98221,0.06
3,2,2,5,2,2.7,0.7,2.81,2.87,0.06,2.28,1.9,-0.38,7.4589,7.8335,0.3746,1.14289,0.060396,-1.082494,1.04
1,1,0,5,2,2.7,0.7,2.81,2.87,0.06,2.28,1.9,-0.38,7.4589,7.8335,0.3746,1.14289,0.060396,-1.082494,0.8
3,2,2,3,2,2.7,0.7,2.81,2.87,0.06,2.28,1.9,-0.38,7.4589,7.8335,0.3746,1.14289,0.060396,-1.082494,0.47
3,2,2,3,2,2.7,0.7,2.81,2.87,0.06,2.28,1.9,-0.38,7.4589,7.8335,0.3746,1.14289,0.060396,-1.082494,0.64
3,2,2,2,2,2.7,0.7,2.81,2.87,0.06,2.28,1.9,-0.38,7.4589,7.8335,0.3746,1.14289,0.060396,-1.082494,0.25
3,2,2,0,2,2.7,0.7,2.81,2.87,0.06,2.28,1.9,-0.38,7.4589,7.8335,0.3746,1.14289,0.060396,-1.082494,-0.11
3,2,2,5,1.5,1.3,-0.2,2.87,2.67,-0.2,2.2,1.9,-0.3,8.3369,7.72638,-0.61052,0.56214,1.23578,0.67364,0.11
1,1,0,5,1.5,1.3,-0.2,2.87,2.67,-0.2,2.2,1.9,-0.3,8.3369,7.72638,-0.61052,0.56214,1.23578,0.67364,0.02
