,1,2,3,4,5,6,7,8,9,10
1,0.258397754,0.250615227,0.223237753,0.219066812,0.224823324,0.212128113,0.223238692,0.21308303,0.211885284,0.20622281
2,0.207093637,0.145551583,0.136485174,0.121900087,0.113624308,0.135726981,0.104348306,0.109475147,0.117632495,0.10523091
3,0.122196731,0.116280341,0.124019474,0.112060104,0.099592119,0.09681012,0.096258493,0.100937665,0.097679487,0.093648507
4,0.137148213,0.116517142,0.101525287,0.095325831,0.094218933,0.094153922,0.091799189,0.09480884,0.091990521,0.088140639
5,0.110407827,0.094395925,0.087053277,0.088697251,0.101275867,0.080170474,0.087223408,0.077774753,0.08561168,0.082197191
6,0.098263311,0.091255358,0.085830735,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
7,0.101281077,0.094997827,0.085748999,0.093998761,0.082629909,0.078395283,0.073462847,0.073535062,0.087527972,0.077341025
8,0.085336776,0.085996051,0.078573306,0.077671076,0.082504565,0.084772024,0.078465877,0.080399188,0.076016676,0.08180599
9,0.090435341,0.085210168,0.08053318,0.079827612,0.081217313,0.076683905,0.081352928,0.071125511,0.076094621,0.078273373
10,0.08597476,0.085665607,0.076916818,0.079109596,0.079757306,0.076488962,0.069971056,0.074497086,0.070232142,0.07392759
