h,k,j,del_CN,del_tension,del_radius,del_dcenter,PEN_host,PEN_impurity,IE_host,IE_impurity,EA_host,EA_impurity,Esegr
6,4,3,2,0.35,0.38,-1.07,1.9,1.54,7.72638,6.8281,1.23578,0.07554,0.42
6,4,3,1,0.35,0.38,-1.07,1.9,1.54,7.72638,6.8281,1.23578,0.07554,0.12
3,2,2,0,0.35,0.38,-1.07,1.9,1.54,7.72638,6.8281,1.23578,0.07554,0.08
6,4,3,0,0.35,0.38,-1.07,1.9,1.54,7.72638,6.8281,1.23578,0.07554,-0.02
6,4,3,6,1.1,0.28,0.11,1.9,2.36,7.72638,7.864,1.23578,0.81626,1.65
3,2,2,5,1.1,0.28,0.11,1.9,2.36,7.72638,7.864,1.23578,0.81626,1.4
1,1,0,5,1.1,0.28,0.11,1.9,2.36,7.72638,7.864,1.23578,0.81626,1.4
6,4,3,5,1.1,0.28,0.11,1.9,2.36,7.72638,7.864,1.23578,0.81626,1.28
1,0,0,4,1.1,0.28,0.11,1.9,2.36,7.72638,7.864,1.23578,0.81626,1.23
6,4,3,4,1.1,0.28,0.11,1.9,2.36,7.72638,7.864,1.23578,0.81626,0.93
1,1,1,3,1.1,0.28,0.11,1.9,2.36,7.72638,7.864,1.23578,0.81626,0.6
3,2,2,3,1.1,0.28,0.11,1.9,2.36,7.72638,7.864,1.23578,0.81626,0.71
3,2,2,3,1.1,0.28,0.11,1.9,2.36,7.72638,7.864,1.23578,0.81626,0.71
6,4,3,3,1.1,0.28,0.11,1.9,2.36,7.72638,7.864,1.23578,0.81626,0.57
3,2,2,2,1.1,0.28,0.11,1.9,2.36,7.72638,7.864,1.23578,0.81626,0.44
6,4,3,2,1.1,0.28,0.11,1.9,2.36,7.72638,7.864,1.23578,0.81626,0.26
6,4,3,1,1.1,0.28,0.11,1.9,2.36,7.72638,7.864,1.23578,0.81626,-0.08
3,2,2,0,1.1,0.28,0.11,1.9,2.36,7.72638,7.864,1.23578,0.81626,0
6,4,3,0,1.1,0.28,0.11,1.9,2.36,7.72638,7.864,1.23578,0.81626,-0.27
6,4,3,6,0.35,0.24,-0.88,2.28,1.54,7.4589,6.8281,1.14289,0.07554,0.32
3,2,2,5,0.35,0.24,-0.88,2.28,1.54,7.4589,6.8281,1.14289,0.07554,0.41
1,1,0,5,0.35,0.24,-0.88,2.28,1.54,7.4589,6.8281,1.14289,0.07554,0.06
6,4,3,5,0.35,0.24,-0.88,2.28,1.54,7.4589,6.8281,1.14289,0.07554,0.34
1,0,0,4,0.35,0.24,-0.88,2.28,1.54,7.4589,6.8281,1.14289,0.07554,0.34
6,4,3,4,0.35,0.24,-0.88,2.28,1.54,7.4589,6.8281,1.14289,0.07554,0.24
1,1,1,3,0.35,0.24,-0.88,2.28,1.54,7.4589,6.8281,1.14289,0.07554,0.23
3,2,2,3,0.35,0.24,-0.88,2.28,1.54,7.4589,6.8281,1.14289,0.07554,0.13
