h,k,j,del_CN,del_tension,del_radius,del_dcenter,PEN_host,PEN_impurity,IE_host,IE_impurity,EA_host,EA_impurity,Esegr
6,4,3,5,0.25,0.03,-0.21,2.2,2.28,8.967,7.4589,1.56436,1.14289,-0.24
1,0,0,4,0.25,0.03,-0.21,2.2,2.28,8.967,7.4589,1.56436,1.14289,-0.23
6,4,3,4,0.25,0.03,-0.21,2.2,2.28,8.967,7.4589,1.56436,1.14289,-0.09
1,1,1,3,0.25,0.03,-0.21,2.2,2.28,8.967,7.4589,1.56436,1.14289,-0.06
3,2,2,3,0.25,0.03,-0.21,2.2,2.28,8.967,7.4589,1.56436,1.14289,-0.03
3,2,2,3,0.25,0.03,-0.21,2.2,2.28,8.967,7.4589,1.56436,1.14289,-0.05
6,4,3,3,0.25,0.03,-0.21,2.2,2.28,8.967,7.4589,1.56436,1.14289,-0.03
3,2,2,2,0.25,0.03,-0.21,2.2,2.28,8.967,7.4589,1.56436,1.14289,0
6,4,3,2,0.25,0.03,-0.21,2.2,2.28,8.967,7.4589,1.56436,1.14289,0.01
6,4,3,1,0.25,0.03,-0.21,2.2,2.28,8.967,7.4589,1.56436,1.14289,0.01
3,2,2,0,0.25,0.03,-0.21,2.2,2.28,8.967,7.4589,1.56436,1.14289,-0.03
6,4,3,0,0.25,0.03,-0.21,2.2,2.28,8.967,7.4589,1.56436,1.14289,-0.04
6,4,3,6,0.75,0.03,-1.06,2.2,2.2,8.967,8.3369,1.56436,0.56214,-1.22
3,2,2,5,0.75,0.03,-1.06,2.2,2.2,8.967,8.3369,1.56436,0.56214,-1.04
1,1,0,5,0.75,0.03,-1.06,2.2,2.2,8.967,8.3369,1.56436,0.56214,-1.06
6,4,3,5,0.75,0.03,-1.06,2.2,2.2,8.967,8.3369,1.56436,0.56214,-0.95
1,0,0,4,0.75,0.03,-1.06,2.2,2.2,8.967,8.3369,1.56436,0.56214,-0.9
6,4,3,4,0.75,0.03,-1.06,2.2,2.2,8.967,8.3369,1.56436,0.56214,-0.65
1,1,1,3,0.75,0.03,-1.06,2.2,2.2,8.967,8.3369,1.56436,0.56214,-0.62
3,2,2,3,0.75,0.03,-1.06,2.2,2.2,8.967,8.3369,1.56436,0.56214,-0.52
3,2,2,3,0.75,0.03,-1.06,2.2,2.2,8.967,8.3369,1.56436,0.56214,-0.6
6,4,3,3,0.75,0.03,-1.06,2.2,2.2,8.967,8.3369,1.56436,0.56214,-0.48
3,2,2,2,0.75,0.03,-1.06,2.2,2.2,8.967,8.3369,1.56436,0.56214,-0.41
6,4,3,2,0.75,0.03,-1.06,2.2,2.2,8.967,8.3369,1.56436,0.56214,-0.39
6,4,3,1,0.75,0.03,-1.06,2.2,2.2,8.967,8.3369,1.56436,0.56214,-0.2
3,2,2,0,0.75,0.03,-1.06,2.2,2.2,8.967,8.3369,1.56436,0.56214,-0.07
6,4,3,0,0.75,0.03,-1.06,2.2,2.2,8.967,8.3369,1.56436,0.56214,-0.09
6,4,3,6,0.45,0.06,-0.79,2.2,2.28,8.967,8.9587,1.56436,2.1251,-0.96
3,2,2,5,0.45,0.06,-0.79,2.2,2.28,8.967,8.9587,1.56436,2.1251,-0.88
1,1,0,5,0.45,0.06,-0.79,2.2,2.28,8.967,8.9587,1.56436,2.1251,-0.85
6,4,3,5,0.45,0.06,-0.79,2.2,2.28,8.967,8.9587,1.56436,2.1251,-0.8
1,0,0,4,0.45,0.06,-0.79,2.2,2.28,8.967,8.9587,1.56436,2.1251,-0.78
6,4,3,4,0.45,0.06,-0.79,2.2,2.28,8.967,8.9587,1.56436,2.1251,-0.66
1,1,1,3,0.45,0.06,-0.79,2.2,2.28,8.967,8.9587,1.56436,2.1251,-0.63
3,2,2,3,0.45,0.06,-0.79,2.2,2.28,8.967,8.9587,1.56436,2.1251,-0.56
3,2,2,3,0.45,0.06,-0.79,2.2,2.28,8.967,8.9587,1.56436,2.1251,-0.63
6,4,3,3,0.45,0.06,-0.79,2.2,2.28,8.967,8.9587,1.56436,2.1251,-0.52
3,2,2,2,0.45,0.06,-0.79,2.2,2.28,8.967,8.9587,1.56436,2.1251,-0.47
6,4,3,2,0.45,0.06,-0.79,2.2,2.28,8.967,8.9587,1.56436,2.1251,-0.46
6,4,3,1,0.45,0.06,-0.79,2.2,2.28,8.967,8.9587,1.56436,2.1251,-0.24
3,2,2,0,0.45,0.06,-0.79,2.2,2.28,8.967,8.9587,1.56436,2.1251,-0.04
6,4,3,0,0.45,0.06,-0.79,2.2,2.28,8.967,8.9587,1.56436,2.1251,-0.04
